date,lat,lon,sst_celsius,lss_class
2025-07-17,30.3400,122.0300,28.00,1
2025-07-17,30.3500,122.0100,28.09,1
2025-07-17,30.3500,122.0200,28.05,1
2025-07-17,30.3600,121.8400,28.73,1
2025-07-17,30.3600,121.8600,28.68,1
2025-07-17,30.3600,121.8700,28.64,1
2025-07-17,30.3600,121.8800,28.58,1
2025-07-17,30.3600,121.9800,28.23,1
2025-07-17,30.3600,121.9900,28.17,1
2025-07-17,30.3600,122.0000,28.13,1
2025-07-17,30.3600,122.0100,28.08,1
2025-07-17,30.3600,122.0200,28.05,1
2025-07-17,30.3600,122.0300,28.01,1
2025-07-17,30.3700,121.8600,28.72,1
2025-07-17,30.3700,121.8700,28.66,1
2025-07-17,30.3700,121.8800,28.63,1
2025-07-17,30.3700,121.8900,28.61,1
2025-07-17,30.3700,121.9000,28.54,1
2025-07-17,30.3700,121.9600,28.33,1
2025-07-17,30.3700,121.9700,28.28,1
2025-07-17,30.3700,121.9800,28.25,1
2025-07-17,30.3700,121.9900,28.20,1
2025-07-17,30.3700,122.0000,28.15,1
2025-07-17,30.3700,122.0100,28.08,1
2025-07-17,30.3700,122.0200,28.06,1
2025-07-17,30.3700,122.0300,28.01,1
2025-07-17,30.3800,121.8600,28.68,1
2025-07-17,30.3800,121.8700,28.65,1
2025-07-17,30.3800,121.8800,28.67,1
2025-07-17,30.3800,121.8900,28.64,1
2025-07-17,30.3800,121.9000,28.60,1
2025-07-17,30.3800,121.9700,28.33,1
2025-07-17,30.3800,121.9800,28.30,1
2025-07-17,30.3800,121.9900,28.24,1
2025-07-17,30.3800,122.0000,28.18,1
2025-07-17,30.3800,122.0100,28.12,1
2025-07-17,30.3800,122.0200,28.09,1
2025-07-17,30.3900,121.8500,28.76,1
2025-07-17,30.3900,121.8600,28.75,1
2025-07-17,30.3900,121.8700,28.73,1
2025-07-17,30.3900,121.8800,28.70,1
2025-07-17,30.3900,121.8900,28.67,1
2025-07-17,30.3900,121.9000,28.62,1
2025-07-17,30.3900,121.9900,28.27,1
2025-07-17,30.3900,122.0000,28.20,1
2025-07-17,30.3900,122.0100,28.17,1
2025-07-17,30.3900,122.0200,28.13,1
2025-07-17,30.3900,122.0300,28.08,1
2025-07-17,30.4000,121.8600,28.76,1
2025-07-17,30.4000,121.8700,28.75,1
2025-07-17,30.4000,121.8800,28.72,1
2025-07-17,30.4000,121.8900,28.69,1
2025-07-17,30.4000,121.9000,28.64,1
2025-07-17,30.4000,122.0000,28.23,1
2025-07-17,30.4000,122.0100,28.23,1
2025-07-17,30.4000,122.0200,28.19,1
2025-07-17,30.4000,122.0300,28.14,1
2025-07-17,30.4100,121.8600,28.81,1
2025-07-17,30.4100,121.8700,28.81,1
2025-07-17,30.4100,121.8800,28.78,1
2025-07-17,30.4100,121.8900,28.75,1
2025-07-17,30.4100,121.9000,28.70,1
2025-07-17,30.4100,121.9100,28.66,1
2025-07-17,30.4100,122.0400,28.16,1
2025-07-17,30.4100,122.0600,28.05,1
2025-07-17,30.4200,121.8700,28.83,1
2025-07-17,30.4200,121.8800,28.80,1
2025-07-17,30.4200,121.8900,28.77,1
2025-07-17,30.4200,121.9000,28.70,1
2025-07-17,30.4200,121.9100,28.67,1
2025-07-17,30.4200,122.0300,28.27,1
2025-07-17,30.4200,122.0400,28.21,1
2025-07-17,30.4200,122.0500,28.14,1
2025-07-17,30.4200,122.0600,28.09,1
2025-07-17,30.4200,122.0700,28.04,1
2025-07-17,30.4300,121.8800,28.84,1
2025-07-17,30.4300,121.8900,28.82,1
2025-07-17,30.4300,121.9000,28.75,1
2025-07-17,30.4300,121.9100,28.71,1
2025-07-17,30.4300,121.9200,28.66,1
2025-07-17,30.4300,121.9600,28.50,1
2025-07-17,30.4300,121.9800,28.43,1
2025-07-17,30.4300,121.9900,28.41,1
2025-07-17,30.4300,122.0000,28.38,1
2025-07-17,30.4300,122.0100,28.36,1
2025-07-17,30.4300,122.0200,28.34,1
2025-07-17,30.4300,122.0400,28.23,1
2025-07-17,30.4300,122.0500,28.16,1
2025-07-17,30.4300,122.0600,28.11,1
2025-07-17,30.4300,122.0700,28.05,1
2025-07-17,30.4300,128.2900,28.19,1
2025-07-17,30.4400,120.9900,30.39,1
2025-07-17,30.4400,121.8800,28.85,1
2025-07-17,30.4400,121.8900,28.82,1
2025-07-17,30.4400,121.9000,28.77,1
2025-07-17,30.4400,121.9800,28.45,1
2025-07-17,30.4400,121.9900,28.43,1
2025-07-17,30.4400,122.0400,28.29,1
2025-07-17,30.4400,122.0500,28.22,1
